0 0 0 0 0 0 
0.001 3.8854 5.34171 7.5784 11.8192 24.9204 
0.002 -10.0408 -11.8571 -13.1136 -11.6339 14.0231 
0.003 6.01763 2.03038 -5.84191 -18.9584 5.37917 
0.004 8.70924 12.1479 9.41817 -14.5031 1.71465 
0.005 -3.63212 5.72532 16.4634 -8.21803 0.486439 
0.006 -11.0303 -6.40226 15.1597 -3.89676 0.127002 
0.007 -6.60607 -14.0017 10.552 -1.63344 0.0311131 
0.008 3.3161 -15.052 6.17214 -0.624078 0.00724178 
0.009 11.1571 -12.1429 3.18887 -0.221533 0.00161533 
0.01 13.9919 -8.21173 1.49757 -0.074022 0.000347467 
0.011 12.7738 -4.89535 0.651188 -0.0235001 7.24195e-05 
0.012 9.68685 -2.64725 0.265561 -0.00713844 1.46788e-05 
0.013 6.44811 -1.32268 0.102523 -0.00208599 2.90202e-06 
0.014 3.88304 -0.618466 0.037737 -0.000588923 5.60948e-07 
0.015 2.15602 -0.273176 0.0133172 -0.000161194 1.06223e-07 
0.016 1.11827 -0.114798 0.00452574 -4.28967e-05 1.97386e-08 
0.017 0.546992 -0.0461567 0.00148654 -1.11256e-05 3.60434e-09 
0.018 0.254158 -0.0178361 0.000473356 -2.81786e-06 6.47556e-10 
0.019 0.112819 -0.00664875 0.000146494 -6.98184e-07 1.14588e-10 
0.02 0.0480621 -0.00239825 4.41586e-05 -1.69481e-07 1.99914e-11 
0.021 0.019724 -0.000839263 1.29891e-05 -4.03587e-08 3.44148e-12 
0.022 0.00782208 -0.000285573 3.73433e-06 -9.43877e-09 5.83847e-13 
0.023 0.00300563 -9.46647e-05 1.05082e-06 -2.17018e-09 9.51731e-14 
0.024 0.00112156 -3.06224e-05 2.8978e-07 -4.90984e-10 1.33168e-14 
0.025 0.000407222 -9.6807e-06 7.8399e-08 -1.09392e-10 1.10412e-15 
0.026 0.000144116 -2.99473e-06 2.08296e-08 -2.40185e-11 -3.70934e-16 
0.027 4.97874e-05 -9.07594e-07 5.43955e-09 -5.19968e-12 -7.25059e-17 
0.028 1.68132e-05 -2.69751e-07 1.39734e-09 -1.11057e-12 7.26107e-16 
0.029 5.55729e-06 -7.8702e-08 3.53352e-10 -2.35901e-13 -1.0331e-15 
0.03 1.7998e-06 -2.25597e-08 8.80135e-11 -5.16092e-14 -1.57202e-15 
