1.000000000000000056e-01 4.810614868459114805e+05 1.058291254321738845e+06
1.183673469387755139e-01 5.361713782170859631e+05 1.084937416760934517e+06
1.367346938775510223e-01 5.864915242588341935e+05 1.110987835536070168e+06
1.551020408163265585e-01 6.329910226309718564e+05 1.136514574615160003e+06
1.734693877551020669e-01 6.763782365982793272e+05 1.161611426448780810e+06
1.918367346938775753e-01 7.171811412942261668e+05 1.186420732480493840e+06
2.102040816326530837e-01 7.558011137463463238e+05 1.211186080505593680e+06
2.285714285714285920e-01 7.925492393844282487e+05 1.236356639638344524e+06
2.469387755102041004e-01 8.276710896481844829e+05 1.262793616624387912e+06
2.653061224489796088e-01 8.613638592320217285e+05 1.292175814266415313e+06
2.836734693877551172e-01 8.937884018683857284e+05 1.327782858690664871e+06
3.020408163265306256e-01 9.250778307840204798e+05 1.375956395905723562e+06
3.204081632653061895e-01 9.553437911681313999e+05 1.448648614726104541e+06
3.387755102040816979e-01 9.846811615333710797e+05 1.567332936859922251e+06
3.571428571428572063e-01 1.013171735399671481e+06 1.767729662858479423e+06
3.755102040816327147e-01 1.040887344680636888e+06 2.103460652311924379e+06
3.938775510204082231e-01 1.067892914982625050e+06 2.647344764955100603e+06
4.122448979591837315e-01 1.094250137837750372e+06 3.493447244950821623e+06
4.306122448979592399e-01 1.120022925461268052e+06 4.765560021726775914e+06
4.489795918367347483e-01 1.145286835546508664e+06 6.634067760147777386e+06
4.673469387755102566e-01 1.170146736656917026e+06 9.340121439865292981e+06
4.857142857142857650e-01 1.194771165775676724e+06 1.322772827386754565e+07
5.040816326530612734e-01 1.219460144345551031e+06 1.878707888384484500e+07
5.224489795918367818e-01 1.244779565315519227e+06 2.671410309493298084e+07
5.408163265306122902e-01 1.271826728674836457e+06 3.799236940469352901e+07
5.591836734693877986e-01 1.302749624918310670e+06 5.400434337258254737e+07
5.775510204081633070e-01 1.341740030448742909e+06 7.667914422868759930e+07
5.959183673469388154e-01 1.396850183949228376e+06 1.086817633476963639e+08
6.142857142857143238e-01 1.483042630165274953e+06 1.536412793469564915e+08
6.326530612244898322e-01 1.626543828950891038e+06 2.163978868147507310e+08
6.510204081632653406e-01 1.869440343225049553e+06 3.032135749517731071e+08
6.693877551020408490e-01 2.272427365980587900e+06 4.218340135621369481e+08
6.877551020408163573e-01 2.915755845449778251e+06 5.812204707671148777e+08
7.061224489795918657e-01 3.903186255705538206e+06 7.907458767526781559e+08
7.244897959183673741e-01 5.373814759453100152e+06 1.058785550568635345e+09
7.428571428571428825e-01 7.522109131320622750e+06 1.391014009975871563e+09
7.612244897959183909e-01 1.062546590001585521e+07 1.789140567804256439e+09
7.795918367346938993e-01 1.508137536707084812e+07 2.250768961575327873e+09
7.979591836734694077e-01 2.145901737351601198e+07 2.770397508485732079e+09
8.163265306122449161e-01 3.057226020178168640e+07 3.340920032389844894e+09
8.346938775510204245e-01 4.358363703577800840e+07 3.954939640833637714e+09
8.530612244897959329e-01 6.215268902794809639e+07 4.605589629007514000e+09
8.714285714285714413e-01 8.864764853970596194e+07 5.286898102165742874e+09
8.897959183673469497e-01 1.264474812880276889e+08 5.993858746153913498e+09
9.081632653061224580e-01 1.803728161396434307e+08 6.722354974670003891e+09
9.265306122448979664e-01 2.573007227723513544e+08 7.469030517088569641e+09
9.448979591836734748e-01 3.670417410533667207e+08 8.231154094485671997e+09
9.632653061224489832e-01 5.235910095922304392e+08 9.006498202346685410e+09
9.816326530612246026e-01 7.469130487863324881e+08 9.793237890662433624e+09
1.000000000000000000e+00 1.065487809617809057e+09 1.058986916592458344e+10
